id,"recipe",freq
1,"Fajitas",1
2,"Spaghetti and Meatballs",1
3,"Jerk Chicken",1
4,"Pork Stir Fry",3
5,"Tofu Curry",3
6,"Burritos",5
7,"Hoppin John",5
8,"Rice Pilaf",1
9,"Singapore Noodles",2
10,"Beef Randang",1
11,"Pasta Putenesca",5
12,"German Potato Salad",2
13,"Korean Beef Soup",3
14,"Cacio e Pepe",3
15,"Broccoli and Gorgonzola Pasta",1
16,"BBQ Ribs",1
17,"Grain Salad",1
18,"Cubano",1
19,"White Bean and Mushroom Gratin",1
20,"Chicken Enchiladas",1
21,"Bouletten",1
22,"Sichuan Green Beans",3
23,"Red Beans and Rice",2
24,"Pad Thai",2
25,"Pan Bagnat",2
26,"Cucumber Carrot Pickle",1
27,"Mango Hot Sauce",2
28,"Panna Cotta",3
29,"Slaw",2
30,"Pizza",3
31,"Cabbage Salad",2
32,"French Potato Salad",2
33,"Ramen",2
34,"Peanut Noodle",3
35,"Sweet Sour Eggs",1
36,"Cucumber Salad",2
37,"Vignole",1
38,"Brown Rice Bowl with Carrots, Kale and Eggs",3
39,"Fideos",2
40,"Fish Tagine",1
41,"Salade Lyonnaise",1
42,"Brown Rice and Salmon Bowl",2
43,"Spring Risotto",1
